order_id,item_id,item,quantity,price,total_item,service_fee,order_id_software
18865,14,Patatas fritas L,1,4.5,4.5,0.0,733909639
18865,3,Sweet Home Sanvi,1,12.3,12.3,0.0,733909639
18864,14,Patatas fritas L,1,4.5,4.5,0.0,733912910
18864,16,Oklahoma Umbrella,1,7.5,7.5,0.0,733912910
18864,20,Charles Wells,1,8.3,8.3,0.0,733912910
18863,5,Tequeños,1,6.4,6.4,0.0,733913902
18863,20,Charles Wells,1,8.3,8.3,0.0,733913902
18863,4,Chicken Tenders,1,7.6,7.6,0.0,733913902
18863,6,Ned Kelly,1,10.9,10.9,0.0,733913902
18863,14,Patatas fritas L,3,4.5,13.5,0.0,733913902
18862,6,Ned Kelly,1,10.9,10.9,0.0,4E3EA
18862,12,Sweet Home Alicante,2,12.3,24.6,0.0,4E3EA
18862,7,Zima Blue,1,11.7,11.7,0.0,4E3EA
18862,5,Tequeños,1,6.4,6.4,0.0,4E3EA
18862,20,Charles Wells,1,8.3,8.3,0.0,4E3EA
18862,19,Patatas fritas Grandes,2,4.5,9.0,0.0,4E3EA
18861,2,Kahuna Burger,2,7.7,15.4,0.0,54174
18861,19,Patatas fritas Grandes,1,3.5,3.5,0.0,54174
18860,56,Arepa Reina Pepiada,1,6.5,6.5,0.0,B7ASQU21
18860,57,Arepa La abuela Rumbera,1,10.9,10.9,0.0,B7ASQU21
18860,58,Tequechapas (4 Uds.),1,7.5,7.5,0.0,B7ASQU21
18859,59,Tequemix,1,9.9,9.9,0.0,BME6HP4H
18859,60,Hamburguesa La Uno,1,14.6,14.6,0.0,BME6HP4H
18859,61,Teque Nutella,1,3.2,3.2,0.0,BME6HP4H
18858,62,Arepa sifrina,1,7.7,7.7,0.0,B59SAKWM
18857,63,Hamburguesa Beety Miranda,1,12.7,12.7,0.0,BA7FVAE1
18857,60,Hamburguesa La Uno,1,14.6,14.6,0.0,BA7FVAE1
18856,5,Tequeños,1,6.4,6.4,0.0,25AA8
18856,19,Patatas fritas Grandes,1,4.5,4.5,0.0,25AA8
18856,12,Sweet Home Alicante,2,12.3,24.6,0.0,25AA8
18855,5,Tequeños,1,5.9,5.9,0.0,4BF96
18855,20,Charles Wells,1,7.7,7.7,0.0,4BF96
18854,5,Tequeños,1,6.4,6.4,0.0,A6FE0
18854,2,Kahuna Burger,1,8.1,8.1,0.0,A6FE0
18854,19,Patatas fritas Grandes,1,4.5,4.5,0.0,A6FE0
18854,12,Sweet Home Alicante,2,12.3,24.6,0.0,A6FE0
18852,12,Sweet Home Alicante,2,12.3,24.6,0.0,733920192
18852,14,Patatas fritas L,1,4.5,4.5,0.0,733920192
18852,23,Patatas fritas S,1,2.5,2.5,0.0,733920192
18852,22,Coca-cola,2,1.9,3.8,0.0,733920192
18853,19,Patatas fritas Grandes,1,3.5,3.5,0.0,DD35D
18853,16,Oklahoma Umbrella,1,7.5,7.5,0.0,DD35D
18853,12,Sweet Home Alicante,2,11.7,23.4,0.0,DD35D
18851,2,Kahuna Burger,1,8.5,8.5,0.0,MBZ9WMPY
18851,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,MBZ9WMPY
18850,1,Patatas fritas Pequeñas,1,2.0,2.0,0.0,B7764
18850,12,Sweet Home Alicante,1,11.7,11.7,0.0,B7764
18849,34,Burger La Uno Basic,1,12.6,12.6,0.0,AXLN29KT
18848,32,Monchi Meal Combo (Para 2),1,23.8,23.8,0.0,733923305
18847,19,Patatas fritas Grandes,1,3.5,3.5,0.0,77EF0
18847,16,Oklahoma Umbrella,1,7.5,7.5,0.0,77EF0
18846,14,Patatas fritas L,1,4.5,4.5,0.0,733923242
18846,6,Ned Kelly,1,10.9,10.9,0.0,733923242
18846,15,Cerveza Estrella Galicia 33CL,1,1.9,1.9,0.0,733923242
18846,55,El Pelirojo Jimmy,1,10.7,10.7,0.0,733923242
18845,20,Charles Wells,1,7.7,7.7,0.0,08F1D
18845,19,Patatas fritas Grandes,1,3.5,3.5,0.0,08F1D
18844,54,Sweet Home Benidorm,1,12.3,12.3,0.0,3EB28
18844,36,Coca-Cola Zero Azúcar lata 330ml.,4,1.9,7.6,0.0,3EB28
18843,30,Slim Combo (para 1),3,11.9,35.7,0.0,9C918
18842,1,Patatas fritas Pequeñas,1,2.5,2.5,0.0,013ED
18842,25,Sweet Home Madrid,2,12.7,25.4,0.0,013ED
18841,64,Chicken tenders,1,7.7,7.7,0.0,88681
18841,60,Hamburguesa La Uno,1,14.6,14.6,0.0,88681
18841,49,Hamburguesa El Zar,1,14.9,14.9,0.0,88681
18840,47,Alitas De Pollo Fritas (7 Uds.),1,7.2,7.2,0.0,ARU11KN2
18840,44,Burger Perla Negra,1,12.5,12.5,0.0,ARU11KN2
18840,33,Patatas Fritas,1,2.5,2.5,0.0,ARU11KN2
18840,65,Burger La Riki,1,10.9,10.9,0.0,ARU11KN2
18839,66,La Caprichosa,1,12.5,12.5,0.0,733926457
18839,67,PACK 6 TEQUES,1,8.9,8.9,0.0,733926457
18838,46,Tequeños (4 Uds.),1,5.9,5.9,0.0,ADYDLLZ7
18838,35,Burger Cheesebacon,1,10.9,10.9,0.0,ADYDLLZ7
18837,12,Sweet Home Alicante,1,12.3,12.3,0.0,733927890
18836,55,El Pelirojo Jimmy,1,10.7,10.7,0.0,21EED
18836,8,Salsa Sweet-Umbrella,2,1.5,3.0,0.0,21EED
18836,68,Boniato frito pequeño,1,3.5,3.5,0.0,21EED
18836,20,Charles Wells,1,8.3,8.3,0.0,21EED
18836,29,Salsa X,2,1.5,3.0,0.0,21EED
18836,3,Sweet Home Sanvi,2,12.3,24.6,0.0,21EED
18836,1,Patatas fritas Pequeñas,3,2.5,7.5,0.0,21EED
18835,42,Coca-Cola Sabor Original lata 330ml.,1,1.9,1.9,0.0,FDC5B
18835,12,Sweet Home Alicante,1,11.7,11.7,0.0,FDC5B
18835,1,Patatas fritas Pequeñas,1,2.0,2.0,0.0,FDC5B
18834,19,Patatas fritas Grandes,1,4.5,4.5,0.0,65B24
18834,2,Kahuna Burger,1,8.1,8.1,0.0,65B24
18834,12,Sweet Home Alicante,1,12.3,12.3,0.0,65B24
18833,24,Slim Combo (Para 1),1,11.9,11.9,0.0,00581
18832,23,Patatas fritas S,1,2.5,2.5,0.0,733930371
18832,2,Kahuna Burger,1,8.1,8.1,0.0,733930371
18831,34,Burger La Uno Basic,1,12.6,12.6,0.0,AGK1DCYS
18831,33,Patatas Fritas,1,2.5,2.5,0.0,AGK1DCYS
18830,17,El Honesto Mike,1,12.3,12.3,0.0,C7ED3
18830,6,Ned Kelly,1,10.9,10.9,0.0,C7ED3
18830,12,Sweet Home Alicante,1,12.3,12.3,0.0,C7ED3
18830,19,Patatas fritas Grandes,1,4.5,4.5,0.0,C7ED3
18829,54,Sweet Home Benidorm,2,12.3,24.6,0.0,B7LLMPNB
18827,3,Sweet Home Sanvi,1,12.3,12.3,0.0,733931544
18827,14,Patatas fritas L,1,4.5,4.5,0.0,733931544
18827,7,Zima Blue,1,11.7,11.7,0.0,733931544
18827,4,Chicken Tenders,1,7.6,7.6,0.0,733931544
18827,6,Ned Kelly,1,10.9,10.9,0.0,733931544
18828,12,Sweet Home Alicante,2,11.7,23.4,0.0,488C2
18828,1,Patatas fritas Pequeñas,3,2.0,6.0,0.0,488C2
18828,2,Kahuna Burger,2,7.7,15.4,0.0,488C2
18826,25,Sweet Home Madrid,1,12.7,12.7,0.0,86970
18826,68,Boniato frito pequeño,1,3.5,3.5,0.0,86970
18825,69,Rabiosa,2,14.2,28.4,0.0,BVFJZLSG
18825,50,Hamburguesa La Caprichosa,2,12.9,25.8,0.0,BVFJZLSG
18824,2,Kahuna Burger,1,8.1,8.1,0.0,BYNLEACY
18824,19,Patatas fritas Grandes,1,4.5,4.5,0.0,BYNLEACY
18824,54,Sweet Home Benidorm,1,12.3,12.3,0.0,BYNLEACY
18824,5,Tequeños,1,6.4,6.4,0.0,BYNLEACY
18823,16,Oklahoma Umbrella,1,7.5,7.5,0.0,733932278
18823,23,Patatas fritas S,1,2.5,2.5,0.0,733932278
18822,70,Ei-ou,1,18.2,18.2,0.0,AZL4TDG9
18821,1,Patatas fritas Pequeñas,1,2.0,2.0,0.0,F344C
18821,20,Charles Wells,1,7.7,7.7,0.0,F344C
18820,3,Sweet Home Sanvi,1,12.3,12.3,0.0,68F0C
18819,14,Patatas fritas L,1,4.5,4.5,0.0,733935504
18819,7,Zima Blue,1,11.7,11.7,0.0,733935504
18819,55,El Pelirojo Jimmy,2,10.7,21.4,0.0,733935504
18818,23,Patatas fritas S,2,2.5,5.0,0.0,733935318
18818,15,Cerveza Estrella Galicia 33CL,1,1.9,1.9,0.0,733935318
18818,2,Kahuna Burger,2,8.1,8.1,0.0,733935318
18817,14,Patatas fritas L,1,4.5,4.5,0.0,733937492
18817,3,Sweet Home Sanvi,1,12.3,12.3,0.0,733937492
18817,2,Kahuna Burger,1,8.1,8.1,0.0,733937492
