order_id_software,item,price,quantity
122772137,Queso Cheddar,1.0,1
122772137,Lechuga,0.5,1
122772137,Cebolla crispy,1.0,1
122772137,Tequemix,8.9,1
122750768,Cheesebacon,11.5,1
122750768,Boniato frito,1.5,2
122750768,Huevo Frito,1.0,1
122750768,Chicken Tenders,7.2,1
122750768,Tropichicken,11.9,1
122752710,LA UNO,13.6,2
122574870,Arepa Sifrina,7.5,1
122574870,Perla Negra,13.3,1
122574870,Cheesebacon,11.5,1
122574870,Tequeños,8.9,1
122511830,Tropichicken,11.9,1
122511830,El Zar,13.9,1
122511830,Tequemix,8.9,1
122506250,Beety Miranda,11.7,1
122506250,Salsa Equis (Servidas aparte),1.0,1
122506250,Caprichosa,11.9,2
122506250,Tequemix,8.9,2
122506250,La Muergana,13.5,1
122506250,Huevo Frito,1.0,1
122502453,LA UNO,13.6,1
122502453,Boniato frito,1.5,1
122502453,Cheesebacon,11.5,1
122502453,MayoBacon (Servidas aparte),1.5,1
122480401,La Muergana,13.5,2
122480401,Tequeños,8.9,1
122458314,El Zar,13.7,1
122458314,Andale,12.5,1
122422609,El Zar,13.7,1
122422609,Inglesa,11.0,1
122422609,Queso Azul,1.5,1
122422609,Chicken Tenders,7.2,1
122422609,Salsa de queso (Servidas aparte),1.5,1
122422609,Salsa Tepuy (Servidas aparte),1.0,1
122422609,Caprichosa,11.5,1
122422609,Andale,12.5,1
122395444,Caprichosa,11.5,3
122395444,Mixto de patatas y boniato,1.5,3
122395444,MayoTrufa (Servidas aparte),1.5,2
122392844,Tequeños,8.9,1
122392844,Inglesa,11.0,1
122392844,Perla Negra,13.2,1
122354924,Inglesa,11.0,1
122354924,Cebolla Pochada,1.0,1
122354924,Una más de ternera gallega,2.5,1
122354924,Boniato frito,1.5,1
122346176,Patatas Fritas bacon,7.2,1
122346176,El Zar,13.7,1
122346176,Extra Carne Madurada (dry-aged),3.5,1
122281954,Beety Miranda,11.5,1
122281954,Andale,12.5,1
122281954,Tequenutellla PL,2.9,1
122130763,La Muergana,13.2,1
122130763,LA UNO,13.5,1
122130763,Una más de ternera gallega,2.5,1
122082548,Perla Negra,13.2,1
122014947,Cocacola zero bote,1.9,2
122014947,LA UNO,13.5,1
121909861,Cheesebacon,11.0,1
121909861,Cocacola zero bote,1.9,1
121881338,Beety Miranda,11.5,1
121881338,Caprichosa,11.5,1
121881338,Salsa Equis (Servidas aparte),1.0,1
121873348,Arepa Rumbera Remix,7.5,1
121873348,Disco de provolone,2.5,1
121873348,Cocacola zero bote,1.9,1
121873348,Arepa Pelúa,7.5,1
121810994,Cheesebacon,11.0,1
121796734,Arepa Sifrina,7.5,1
121796734,Patatas guarnición,1.5,1
121796734,Avocaitor,12.9,1
121796734,Arepa Rumbera Remix,7.5,1
121796734,Cocacola bote,1.9,1
121619568,Tequeños,8.9,1
121619568,Custom Burger,8.5,2
121619568,Bacon,1.0,1
121619568,Queso Cheddar,1.0,2
121619568,Huevo Frito,1.0,1
121619568,Salsa César (dentro burger),1.0,1
121619568,Tomate,0.5,1
121619568,Lechuga,0.5,1
121619568,Cocacola bote,1.9,2
121587545,Arepa Reina Pepiada,7.5,1
121587545,La Muergana,13.2,2
121460875,Ei-ou,16.0,1
121460875,Mixto de patatas y boniato,1.5,1
121460875,Patatas Rancheras,8.0,1
121460875,Tequeños,8.9,1
121414941,LA UNO,13.5,1
121414941,Mixto de patatas y boniato,1.5,1
121414941,Huevo Frito,1.0,1
135287880,Cheesebacon,12.5,2
135287880,MayoBacon (Servidas aparte),1.5,4
135251487,Tequeños,9.9,1
135251487,RABIOSA,14.2,1
135251487,El Zar,14.9,1
135251487,La Muergana,14.5,1
135251487,Una más de ternera gallega,2.5,1
135251487,Queso Cabra,1.5,1
135095287,Cheesebacon,12.5,1
135095287,MayoBacon (Servidas aparte),1.5,1
135087424,Combo Duo (Para 2),26.8,1
135087424,La Muergana,1.7,1
135087424,El Zar,2.2,1
135062246,Arepa Reina Pepiada,7.7,1
135062246,Tequemix,9.9,1
135055470,Caprichosa,12.9,1
135055470,Una más de ternera gallega,2.5,1
135055470,La Muergana,14.5,1
135055470,Inglesa,12.5,1
135055470,Patatas Fritas bacon,7.7,1
135052902,Arepa Reina Pepiada,7.7,2
135052902,Boniato guarnición,2.5,2
135052902,Arepa Sifrina,7.7,1
135052902,Patatas guarnición,1.5,1
135037129,La Catira,8.0,1
135037129,Arepa Sifrina,7.7,1
135024665,Como Ego (para 1),13.4,3
135024665,Perla Negra,1.7,1
135024665,El Zar,2.2,1
135024665,La Muergana,1.7,1
135024665,Provocativos,10.5,1
134997243,Como Ego (para 1),13.4,1
134997243,El Zar,2.2,1
134997243,Nachos Anaya,12.2,1
134979830,Cheesebacon,12.5,2
134979830,MayoBacon (Servidas aparte),1.5,4
134981529,LA UNO,14.6,1
134981529,Mixto de patatas y boniato,1.5,1
134981529,Extra Carne Madurada (dry-aged),3.5,1
134981529,Tequeños,9.9,1
134938652,RABIOSA,14.2,1
134938652,Salsa de queso (Servidas aparte),1.5,1
134938652,Nachos Anaya,12.2,1
134938652,Aquarius limon bote,2.2,1
134899423,Arepa Sifrina,7.7,1
134899423,Patatas Fritas bacon,7.7,1
134899423,Aquarius limon bote,2.2,1
134896144,Trío Criollo,12.2,1
134896144,Custom Burger,9.5,1
134896144,Salsa MayoTrufa (dentro burger),1.5,1
134896144,Mixto de patatas y boniato,1.5,1
134896144,Bacon,1.0,1
134896144,Queso Cheddar,1.0,1
134896144,Cebolla Caramelizada,1.0,1
134896144,Disco de provolone,2.5,2
134896144,Tropichicken,12.9,1
134896144,Salsa Tepuy (Servidas aparte),1.0,1
134888084,RABIOSA,14.2,1
134888084,Tequeños,9.9,1
134888084,LA UNO,14.6,1
134888084,Nachos Anaya,12.2,1
134877864,Tequemix,9.9,1
134877864,El Zar,14.9,1
134877864,Boniato frito,1.5,2
134877864,Queso Cabra,1.5,1
134877864,LA UNO,14.6,1
134877864,Queso Caribeño,1.5,1
134866213,RABIOSA,14.2,2
134857086,RABIOSA,14.2,1
134857086,Arepa Pelúa,8.5,1
134857086,Salsa Beety (dentro arepa),1.0,1
134857086,Patatas guarnición,1.5,1
134821909,Tequeños,9.9,1
134821909,Caprichosa,12.9,1
134821909,Tropichicken,12.9,1
134815875,Cheesebacon,12.5,1
134815875,Salsa Beety (Servidas aparte),1.0,1
134815875,Perla Negra,14.3,1
134815875,Salsa Equis (Servidas aparte),1.0,1
134815875,Custom Burger,9.5,1
134815875,Salsa BBQ (dentro burger),1.0,1
134815875,Salsa Tepuy (Servidas aparte),1.0,1
134815875,Una más de ternera gallega,2.5,1
134815875,Bacon,1.0,1
134815875,Huevo Frito,1.0,1
134815875,Tomate,0.5,1
134815875,Lechuga,0.5,1
134815875,Cebolla Caramelizada,1.0,1
134815875,La Dos,15.7,1
134811738,Cheesebacon,12.5,2
134811738,MayoBacon (Servidas aparte),1.5,4
134778252,Como Ego (para 1),13.4,1
134771280,RABIOSA,14.2,2
134771280,Boniato frito,1.5,1
134771280,Mixto de patatas y boniato,1.5,1
134771280,Provocativos,10.5,1
134777416,Cheesebacon,12.5,1
134777416,Salsa de queso (Servidas aparte),1.5,1
134777416,Mixto de patatas y boniato,1.5,1
134777416,Cocacola bote,1.9,1
134771367,Tequemix,9.9,1
134771367,Salsa Tepuy (Servidas aparte),1.0,1
134771367,LA UNO,14.6,1
134771367,El Zar,14.9,1
134755461,Arepa Sifrina,7.7,1
134755461,La Muergana,14.5,1
134755461,Madurada PUNTO en lugar de carne normal,1.5,1
134755461,Queso en las patatas,1.5,1
134747215,Tropichicken,12.9,1
134747215,El Zar,14.9,1
134747215,PACK 12 TEQUEÑOS,17.8,1
134747215,LA UNO,14.6,1
134739943,Combo Duo (Para 2),26.8,1
134718018,Custom Burger,9.5,1
134718018,Salsa MayoBacon (dentro burger),1.5,1
134718018,Madurada PUNTO en lugar de carne normal,1.5,1
134718018,Mixto de patatas y boniato,1.5,1
134718018,Extra Carne Madurada (dry-aged),3.5,1
134718018,Queso Cheddar,1.0,1
134718018,Huevo Frito,1.0,1
134718018,Tomate,0.5,1
134718018,Cebolla Caramelizada,1.0,1
134718018,Queso Cabra,1.5,1
134718018,Tequenutella PL,3.9,1
134709619,Perla Negra,14.3,1
134698752,Caprichosa,12.9,1
134698752,Salsa de queso (Servidas aparte),1.5,2
134698752,Boniato frito,1.5,2
134698752,Tropichicken,12.9,1
134698752,MayoTrufa (Servidas aparte),1.5,1
134698752,Cebolla Caramelizada,1.0,2
134698752,Cheesebacon,12.5,1
134698752,La Muergana,14.5,1
134698752,RABIOSA,14.2,1
134698752,Tequeños,9.9,1
134698752,Custom Burger,9.5,1
134698752,Salsa MayoTrufa (dentro burger),1.5,1
134698752,Queso Cheddar,1.0,1
134698752,Huevo Frito,1.0,1
134698752,Tomate,0.5,1
134698752,Lechuga,0.5,1
134698752,Bacon bits,1.5,1
134694884,Tequeños,9.9,1
134694884,RABIOSA,14.2,1
134694884,Boniato frito,1.5,1
134694884,Custom Burger,9.5,1
