"CreatedTime","CreatedTimeUTC","Location","OrderID","Channel","Payment","PaymentAmount","Rebate","SubTotal","Tax","VAT","ProductNames","ItemPrice","ItemQuantities"
"2023-04-30 21:59:40+0200","2023-04-30 19:59:40","Alicante - Periodista Rodolfo Salazar","7503A","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Hamburguesa normal",0,2
"2023-04-30 21:59:40+0200","2023-04-30 19:59:40","Alicante - Periodista Rodolfo Salazar","7503A","Uber Eats","ONLINE",12.9,0.0,25.8,0.0,1.18,"Sin Extras",0,2
"2023-04-30 22:03:37+0200","2023-04-30 20:03:37","Alicante - Bazan","A5EKM1EL","Glovo","CARD",37.8,0.0,37.8,0.0,0.0,"Beety Miranda",1270,2
"2023-04-30 22:03:37+0200","2023-04-30 20:03:37","Alicante - Bazan","A5EKM1EL","Glovo","CARD",37.8,0.0,37.8,0.0,0.0,"Pan normal",0,2
"2023-04-30 22:03:37+0200","2023-04-30 20:03:37","Alicante - Bazan","A5EKM1EL","Glovo","CARD",37.8,0.0,37.8,0.0,0.0,"Al punto",0,2
"2023-04-30 22:03:37+0200","2023-04-30 20:03:37","Alicante - Bazan","A5EKM1EL","Glovo","CARD",37.8,0.0,37.8,0.0,0.0,"Patatas fritas caseras",0,2
"2023-04-30 22:03:37+0200","2023-04-30 20:03:37","Alicante - Bazan","A5EKM1EL","Glovo","CARD",37.8,0.0,37.8,0.0,0.0,"Hamburguesa normal",0,2
"2023-04-30 22:03:37+0200","2023-04-30 20:03:37","Alicante - Bazan","A5EKM1EL","Glovo","CARD",37.8,0.0,37.8,0.0,0.0,"Sin Extras",0,1
"2023-04-30 22:03:37+0200","2023-04-30 20:03:37","Alicante - Bazan","A5EKM1EL","Glovo","CARD",37.8,0.0,37.8,0.0,0.0,"Tomate",50,1
"2023-04-30 22:03:37+0200","2023-04-30 20:03:37","Alicante - Bazan","A5EKM1EL","Glovo","CARD",37.8,0.0,37.8,0.0,0.0,"Cebolla Pochada",100,1
"2023-04-30 22:03:37+0200","2023-04-30 20:03:37","Alicante - Bazan","A5EKM1EL","Glovo","CARD",37.8,0.0,37.8,0.0,0.0,"Salsa Tepuy (Servidas aparte)",100,1
