artículos_ordenados,cantidad,precio_de_venta,artículo_subtotal,id_de_pedido,service_fee
Marquesa de Nutella,1,5.9,5.9,AYA39PRH,0.0
Agua (330 Ml.),1,1.0,1.0,MYMFLRYU,0.0
Kahuna Burger,2,8.5,17.0,MYMFLRYU,0.0
Salsa Mayo Trufa,1,1.5,1.5,048F9,0.0
Patatas fritas Pequeñas,1,2.5,2.5,048F9,0.0
Salsa X,1,1.5,1.5,048F9,0.0
Salsa Spicy,1,1.5,1.5,048F9,0.0
Sweet Home Madrid,1,12.7,12.7,048F9,0.0
Zima Blue,1,12.2,12.2,048F9,0.0
Cheesecake de Oreo,1,5.9,5.9,FD1A2,0.0
Salsa Mayo Pepper,1,1.5,1.5,FD1A2,0.0
Charles Wells,1,8.7,8.7,FD1A2,0.0
Patatas fritas Pequeñas,1,2.5,2.5,FD1A2,0.0
Boniato frito pequeño,1,3.5,3.5,FD1A2,0.0
Patatas fritas Grandes,1,4.5,4.5,BPAXJJZK,0.0
Sweet Home Benidorm,1,12.3,12.3,BPAXJJZK,0.0
Zima Blue,1,11.7,11.7,BPAXJJZK,0.0
El Honesto Mike,2,12.7,25.4,MKWJLSLZ,0.0
Salsa X,1,1.5,1.5,BCB1NS4B,0.0
Slim Combo (Para 1),1,11.9,11.9,BCB1NS4B,0.0
Sweet Home Alicante,1,12.3,12.3,AE2AC,0.0
Coca-Cola Zero Azúcar lata 330ml.,3,1.9,5.7,AE2AC,0.0
Arepa Sifrina,1,7.7,7.7,ABEPF8NS,0.0
LA UNO,3,14.6,43.8,ABEPF8NS,0.0
Tequeños,1,9.9,9.9,ABEPF8NS,0.0
Combo Duo (Para 2),1,26.8,26.8,71B4C,0.0
Kahuna Burger,2,8.5,17.0,MW5H1141,0.0
Nestea Té Negro Limón lata 330ml.,1,1.9,1.9,BNJL5CFR,0.0
Kahuna Burger,1,8.1,8.1,BNJL5CFR,0.0
Patatas fritas Pequeñas,1,2.5,2.5,BHGYHULR,0.0
Kahuna Burger,1,8.1,8.1,BHGYHULR,0.0
Nachos Anaya,1,12.2,12.2,AETLNMQB,0.0
Combo Ego (para 1),1,13.4,13.4,AETLNMQB,0.0
Tequeños,1,6.4,6.4,9EE49,0.0
Boniato frito pequeño,1,3.5,3.5,9EE49,0.0
Patatas fritas Pequeñas,1,2.5,2.5,9EE49,0.0
Zima Blue,1,11.7,11.7,9EE49,0.0
Sweet Home Alicante,1,12.3,12.3,9EE49,0.0
Arepa isleña,1,9.4,9.4,A724A,0.0
Arepa la rumbera remix,1,7.7,7.7,A724A,0.0
Trío criollo,1,12.2,12.2,B1PU6BZU,0.0
Hamburguesa La Uno,1,14.6,14.6,B1PU6BZU,0.0
Hamburguesa cheesebacon,1,12.5,12.5,B1PU6BZU,0.0
El Zar,1,14.9,14.9,AB1HASDN,0.0
Arepa Rumbera Remix,1,7.7,7.7,AB1HASDN,0.0
La Muergana,1,14.5,14.5,AB1HASDN,0.0
Chicken Tenders,1,7.7,7.7,AB1HASDN,0.0
Slim Combo (Para 1),1,11.9,11.9,BKGVVGSP,0.0
Salsa X,1,1.5,1.5,BKGVVGSP,0.0
LA UNO,1,14.6,14.6,AXT6DZHC,0.0
Tequeños,1,9.9,9.9,AXT6DZHC,0.0
Cocacola bote,1,1.9,1.9,AXT6DZHC,0.0
Slim Combo (Para 1),1,11.9,11.9,3B86B,0.0
Hamburguesa Perla Negra,2,14.3,28.6,7F9B7,0.0
Hamburguesa La Uno,1,14.6,14.6,7F9B7,0.0
Tequeños,1,9.9,9.9,7F9B7,0.0
Kahuna Burger,2,8.5,17.0,MS8FGTQP,0.0
Combo Para Ti,1,16.3,16.3,52F9C,0.0
Salsa Spicy,1,1.5,1.5,MGL6KHRK,0.0
