createdtime,createdtimeutc,location,orderid,channel,payment,paymentamount,subtotal,vat,productnames,itemprice,itemquantities,discounttotal
2023-04-30 20:49:19+0200,2023-04-30 18:49:19,Alicante - Bazan,AYGV5ZLQ,Glovo,CARD,96.4,96.4,0.0,PACK 18 TEQUEÑOS,2670,1,0.0
2023-04-30 20:49:19+0200,2023-04-30 18:49:19,Alicante - Bazan,AYGV5ZLQ,Glovo,CARD,96.4,96.4,0.0,LA UNO,1460,1,0.0
2023-04-30 20:49:19+0200,2023-04-30 18:49:19,Alicante - Bazan,AYGV5ZLQ,Glovo,CARD,96.4,96.4,0.0,Andale,1360,1,0.0
2023-04-30 20:49:19+0200,2023-04-30 18:49:19,Alicante - Bazan,AYGV5ZLQ,Glovo,CARD,96.4,96.4,0.0,Cheesebacon,1250,1,0.0
2023-04-30 20:49:19+0200,2023-04-30 18:49:19,Alicante - Bazan,AYGV5ZLQ,Glovo,CARD,96.4,96.4,0.0,La Muergana,1450,2,0.0
2023-04-30 20:53:11+0200,2023-04-30 18:53:11,Alicante - Periodista Rodolfo Salazar,B128E,Uber Eats,ONLINE,22.8,35.7,2.08,Tequeños,990,1,0.0
2023-04-30 20:53:11+0200,2023-04-30 18:53:11,Alicante - Periodista Rodolfo Salazar,B128E,Uber Eats,ONLINE,22.8,35.7,2.08,Caprichosa,1290,2,0.0
2023-04-30 20:36:54+0200,2023-04-30 18:36:54,Alicante - Bazan,AQG1VBLM,Glovo,CARD,34.9,34.9,0.0,La Muergana,1450,1,0.0
2023-04-30 20:36:54+0200,2023-04-30 18:36:54,Alicante - Bazan,AQG1VBLM,Glovo,CARD,34.9,34.9,0.0,Madurada PUNTO en lugar de carne normal,150,1,0.0
2023-04-30 20:36:54+0200,2023-04-30 18:36:54,Alicante - Bazan,AQG1VBLM,Glovo,CARD,34.9,34.9,0.0,Cebolla Pochada,100,1,0.0
2023-04-30 20:36:54+0200,2023-04-30 18:36:54,Alicante - Bazan,AQG1VBLM,Glovo,CARD,34.9,34.9,0.0,Salsa Beety (Servidas aparte),100,1,0.0
2023-04-30 20:36:54+0200,2023-04-30 18:36:54,Alicante - Bazan,AQG1VBLM,Glovo,CARD,34.9,34.9,0.0,El Zar,1490,1,0.0
2023-04-30 20:36:54+0200,2023-04-30 18:36:54,Alicante - Bazan,AQG1VBLM,Glovo,CARD,34.9,34.9,0.0,Huevo Frito,100,1,0.0
2023-04-30 20:36:54+0200,2023-04-30 18:36:54,Alicante - Bazan,AQG1VBLM,Glovo,CARD,34.9,34.9,0.0,Jalapeños,100,1,0.0
2023-04-30 20:33:34+0200,2023-04-30 18:33:34,Alicante - Periodista Rodolfo Salazar,7BF1C,Uber Eats,ONLINE,40.6,40.6,3.7,LA UNO,1460,2,0.0
2023-04-30 20:33:34+0200,2023-04-30 18:33:34,Alicante - Periodista Rodolfo Salazar,7BF1C,Uber Eats,ONLINE,40.6,40.6,3.7,Boniato frito,150,1,0.0
2023-04-30 20:33:34+0200,2023-04-30 18:33:34,Alicante - Periodista Rodolfo Salazar,7BF1C,Uber Eats,ONLINE,40.6,40.6,3.7,Tequemix,990,1,0.0
2023-04-30 20:17:31+0200,2023-04-30 18:17:31,Alicante - Bazan,75168,Uber Eats,ONLINE,14.8,27.7,1.35,Caprichosa,1290,2,0.0
2023-04-30 20:17:31+0200,2023-04-30 18:17:31,Alicante - Bazan,75168,Uber Eats,ONLINE,14.8,27.7,1.35,Cocacola bote,190,1,0.0
2023-04-30 20:19:39+0200,2023-04-30 18:19:39,Alicante - Bazan,A5PQK1A4,Glovo,CARD,27.1,27.1,0.0,LA UNO,1460,1,0.0
2023-04-30 20:19:39+0200,2023-04-30 18:19:39,Alicante - Bazan,A5PQK1A4,Glovo,CARD,27.1,27.1,0.0,Custom Burger,950,1,0.0
2023-04-30 20:19:39+0200,2023-04-30 18:19:39,Alicante - Bazan,A5PQK1A4,Glovo,CARD,27.1,27.1,0.0,Madurada PUNTO en lugar de carne normal,150,1,0.0
2023-04-30 20:19:39+0200,2023-04-30 18:19:39,Alicante - Bazan,A5PQK1A4,Glovo,CARD,27.1,27.1,0.0,Tomate,50,1,0.0
2023-04-30 20:19:39+0200,2023-04-30 18:19:39,Alicante - Bazan,A5PQK1A4,Glovo,CARD,27.1,27.1,0.0,Lechuga,50,1,0.0
2023-04-30 20:19:39+0200,2023-04-30 18:19:39,Alicante - Bazan,A5PQK1A4,Glovo,CARD,27.1,27.1,0.0,Cebolla Cruda,50,1,0.0
2023-04-30 20:19:16+0200,2023-04-30 18:19:16,Alicante - Bazan,ADS12WGN,Glovo,CARD,17.6,17.6,0.0,Tequemix,990,1,0.0
2023-04-30 20:19:16+0200,2023-04-30 18:19:16,Alicante - Bazan,ADS12WGN,Glovo,CARD,17.6,17.6,0.0,Arepa Rumbera Remix,770,1,0.0
2023-04-30 20:13:34+0200,2023-04-30 18:13:34,Alicante - Periodista Rodolfo Salazar,087,Glovo,CARD,27.6,27.6,0.0,Patatas Fritas bacon,770,1,0.0
